Название,Жанр,Выберите поджанр:,Какие темы важны?,Временной период:,Рейтинг
Ледниковый период,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),8.038
Волк и теленок,Семейный,Комедия,Истории с животными,Новинки (2020–2025),8.576
Кунг-Фу Панда,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.815
Я купил папу,Семейный,Комедия,Семейные комедии,Новинки (2020–2025),7.617
Элементарно,Семейный,Приключения,Семейные комедии,Новинки (2020–2025),7.544
Зверопой 2,Семейный,Приключения,Истории с животными,Новинки (2020–2025),8.282
Головоломка,Семейный,Приключения,Межпоколенческие драмы,Современное кино (2000–2020),8.079
Ральф,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.793
Собачья жизнь 2,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),8.06
Золотая антилопа,Семейный,Приключения,Истории с животными,Классика (до 2000 года),7.987
Моана,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.799
В поисках Немо,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.939
Гадкий я,Семейный,Комедия,Семейные комедии,Современное кино (2000–2020),7.797
Мой Хатико,Семейный,Драма,Истории с животными,Современное кино (2000–2020),8.545
Сказка о рыбаке и рыбке,Семейный,Приключения,Детские приключения,Классика (до 2000 года),8.088
Снежная королева,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),8.043
Заколдованный мальчик,Семейный,Приключения,Детские приключения,Классика (до 2000 года),8.325
Храбрый олененок,Семейный,Приключения,Истории с животными,Новинки (2020–2025),8.237
Летняя поездка к морю,Семейный,Приключения,Детские приключения,Новинки (2020–2025),7.216
Каштанка,Семейный,Приключения,Детские приключения,Классика (до 2000 года),7.824
Золушка,Семейный,Фэнтези,Межпоколенческие драмы,Классика (до 2000 года),7.106
Лука,Семейный,Приключения,Семейные комедии,Новинки (2020–2025),7.792
Ночь перед Рождеством,Семейный,Комедия,Детские приключения,Классика (до 2000 года),8.035
Приключения Паддингтона 2,Семейный,Комедия,Истории с животными,Современное кино (2000–2020),8.235
Конек-Горбунок,Семейный,Фэнтези,Истории с животными,Новинки (2020–2025),7.992
Кошкин дом,Семейный,Приключения,Истории с животными,Классика (до 2000 года),8.052
Девочка и крокодил,Семейный,Приключения,Истории с животными,Классика (до 2000 года),7.622
Питер Пэн,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),7.735
Гуси-лебеди,Семейный,Приключения,Детские приключения,Классика (до 2000 года),8.026
Суперсемейка 2,Семейный,Фантастика,Детские приключения,Современное кино (2000–2020),7.406
101 далматинец,Семейный,Приключения,Истории с животными,Классика (до 2000 года),8.048
Ореховый прутик,Семейный,Драма,Межпоколенческие драмы,Современное кино (2000–2020),7.99
Энканто,Семейный,Фэнтези,Межпоколенческие драмы,Новинки (2020–2025),7.486
Сказка о мертвой царевне и семи богатырях,Семейный,Приключения,Детские приключения,Новинки (2020–2025),8.002
Братья Супер Марио в кино,Семейный,Приключения,Детские приключения,Новинки (2020–2025),7.006
Университет монстров,Семейный,Комедия,Семейные комедии,Современное кино (2000–2020),7.648
Океаны,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),8.289
Собачья жизнь,Семейный,Драма,Истории с животными,Современное кино (2000–2020),8.099
Рыбка Поньо на утесе,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),7.964
Кунг-Фу Панда 2,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.395
Одаренная,Семейный,Драма,Межпоколенческие драмы,Современное кино (2000–2020),7.952
Дружок,Семейный,Приключения,Истории с животными,Новинки (2020–2025),8.154
Суперпитомцы,Семейный,Приключения,Истории с животными,Новинки (2020–2025),6.626
Алеша Попович и Тугарин Змей,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.948
Анастасия,Семейный,Исторический,Межпоколенческие драмы,Классика (до 2000 года),8.111
Спирит: Душа прерий,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),8.14
Пиноккио,Семейный,Приключения,Детские приключения,Новинки (2020–2025),7.633
Серая Шейка,Семейный,Приключения,Истории с животными,Классика (до 2000 года),7.988
Храбрый заяц,Семейный,Комедия,Детские приключения,Новинки (2020–2025),7.879
Королевство Кривых Зеркал,Семейный,Приключения,Детские приключения,Классика (до 2000 года),8.008
Семья по-быстрому,Семейный,Комедия,Семейные комедии,Новинки (2020–2025),7.467
Стрела улетает в сказку,Семейный,Приключения,Детские приключения,Новинки (2020–2025),7.403
Белоснежка и семь гномов,Семейный,Приключения,Детские приключения,Классика (до 2000 года),7.933
Холодное сердце 2,Семейный,Фэнтези,Семейные комедии,Современное кино (2000–2020),7.366
Земля,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),8.356
Мост в Терабитию,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.794
История игрушек 4,Семейный,Приключения,Межпоколенческие драмы,Современное кино (2000–2020),7.675
Рио,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.469
Расправь крылья,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),8.32
Семейка Крудс,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.627
Ледниковый период 3: Эра динозавров,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),7.556
Гадкий я 2,Семейный,Комедия,Семейные комедии,Современное кино (2000–2020),7.63
Сестрица Алёнушка и братец Иванушка,Семейный,Фэнтези,Детские приключения,Новинки (2020–2025),7.755
Храбрая сердцем,Семейный,Фэнтези,Межпоколенческие драмы,Современное кино (2000–2020),7.432
Вонка,Семейный,Фэнтези,Детские приключения,Новинки (2020–2025),7.169
Аладдин,Семейный,Приключения,Детские приключения,Классика (до 2000 года),7.303
Волшебная страна,Семейный,Приключения,Детские приключения,Новинки (2020–2025),7.875
Город Кошек,Семейный,Приключения,Истории с животными,Новинки (2020–2025),7.779
Леди Баг и Супер-Кот: пробуждение силы,Семейный,Приключения,Детские приключения,Новинки (2020–2025),7.641
Шазам!,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),6.695
Олененок,Семейный,Приключения,Истории с животными,Новинки (2020–2025),6.877
Чук и Гек,Семейный,Приключения,Детские приключения,Классика (до 2000 года),8.18
Приключения пингвиненка Лоло,Семейный,Приключения,Истории с животными,Классика (до 2000 года),8.161
Сестренка,Семейный,Драма,Межпоколенческие драмы,Современное кино (2000–2020),6.44
Пальма,Семейный,Драма,Истории с животными,Новинки (2020–2025),8.174
Вольт,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),7.269
Монстры на каникулах,Семейный,Комедия,Семейные комедии,Современное кино (2000–2020),7.739
Большая семья,Семейный,Драма,Межпоколенческие драмы,Классика (до 2000 года),8.231
Мадагаскар 3,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),7.375
Принцесса и лягушка,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.209
Ледниковый период 2: Глобальное потепление,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.597
